ponto,tipo,veiculo,chegada,saida,duracao_min,soc_inicial_%,soc_final_%,energia_kwh
CP01,AC 22 kW,Renault Kwid E-Tech #01,02:10,04:05,115,29.7,80.0,13.48
CP01,AC 22 kW,Volvo EX30 #02,06:51,08:19,88,43.7,90.0,31.92
CP01,AC 22 kW,Toyota bZ4X #03,09:08,11:01,113,21.6,80.0,41.72
CP01,AC 22 kW,Volvo EX30 #05,11:09,12:15,66,44.9,80.0,24.23
CP03,DC 50 kW,Volvo EX30 #06,12:13,13:07,54,14.7,80.0,45.08
CP02,DC 50 kW,Renault Kwid E-Tech #04,10:55,13:13,138,19.7,80.0,16.17
CP01,AC 22 kW,Nissan Leaf #07,12:48,13:42,54,42.2,90.0,19.1
CP03,DC 50 kW,Toyota bZ4X #08,13:01,14:18,77,22.0,90.0,48.55
CP01,AC 22 kW,Volvo EX30 #09,14:21,16:03,102,25.5,80.0,37.61
CP02,DC 50 kW,Renault Kwid E-Tech #10,14:49,16:53,124,26.0,80.0,14.48
CP03,DC 50 kW,Toyota bZ4X #13,17:48,18:33,45,39.1,80.0,29.21
CP02,DC 50 kW,Volvo EX30 #12,17:30,18:54,84,22.0,90.0,46.9
CP01,AC 22 kW,BYD Dolphin #11,17:21,21:14,233,19.3,80.0,27.25
CP03,DC 50 kW,BYD Dolphin #14,17:55,21:48,233,29.5,80.0,22.66
CP01,AC 22 kW,Renault Kwid E-Tech #16,21:40,23:07,87,42.0,80.0,10.19
CP02,DC 50 kW,BYD Dolphin #15,18:58,23:59,301,26.4,90.0,28.54
